"Filename","r-base","ms-deberta","distilb","r-large","albert","Mittelwert"
"1950_53_Seite_165.txt",21,99.7,96,100,100,83.3
"1950_53_Seite_508.txt",99.8,19,98.9,100,100,83.5
"1950_53_Seite_401.txt",100,100,24.3,100,100,84.8
"1950_53_Seite_297.txt",60.6,99.4,65.1,99.6,99.9,84.9
"1950_53_Seite_240.txt",100,99.9,29.3,100,100,85.8
"1950_53_Seite_357.txt",99.9,100,33.8,100,100,86.7
"1950_53_Seite_356.txt",97,99.9,57.3,100,81.1,87.1
"1950_53_Seite_398.txt",99.9,100,36.4,100,100,87.2
"1950_53_Seite_75.txt",42.6,99.6,97.7,100,100,88
"1950_53_Seite_383.txt",45.1,99.1,99.9,100,98,88.4
"1950_53_Seite_218.txt",49.4,99.4,93.9,100,100,88.5
"1950_53_Seite_45.txt",43.1,99.9,99.7,100,100,88.5
"1950_53_Seite_219.txt",44.5,99.9,99.1,100,100,88.7
"1950_53_Seite_511.txt",99.8,46.5,97.9,100,100,88.8
"1950_53_Seite_207.txt",99.9,75.9,72.5,100,98.9,89.4
"1950_53_Seite_41.txt",97.3,72.9,77.3,100,100,89.5
"1950_53_Seite_167.txt",95.4,100,52.8,100,100,89.6
"1950_53_Seite_164.txt",49,100,99.5,100,100,89.7
"1950_53_Seite_368.txt",99.9,100,98.7,100,51.9,90.1
"1950_53_Seite_36.txt",52.5,99.7,99.1,100,99.9,90.2
"1950_53_Seite_388.txt",99.8,100,51.9,100,99.9,90.3
"1950_53_Seite_338.txt",98.5,100,57,100,99.9,91.1
"1950_53_Seite_424.txt",100,100,57.2,100,99.9,91.4
"1950_53_Seite_479.txt",99.7,62.7,98.8,100,100,92.2
"1950_53_Seite_518.txt",100,99.8,61.2,100,100,92.2
"1950_53_Seite_104.txt",92.9,99.9,71.2,100,100,92.8
"1950_53_Seite_425.txt",72.6,100,93.2,100,100,93.1
"1950_53_Seite_166.txt",99.8,99.9,66.9,100,100,93.3
"1950_53_Seite_421.txt",83.2,100,85,100,100,93.6
"1950_53_Seite_442.txt",68.8,100,99.7,100,100,93.7
"1950_53_Seite_477.txt",100,100,69.7,100,99.9,93.9
"1950_53_Seite_433.txt",74.9,99.8,99.6,100,99.7,94.8
"1950_53_Seite_129.txt",82.6,99.8,92.8,100,99.7,95
"1950_53_Seite_516.txt",76.2,99.8,99.8,100,100,95.1
"1950_53_Seite_169.txt",79.8,100,99.7,100,100,95.9
"1950_53_Seite_35.txt",96.7,100,84.8,100,100,96.3
"1950_53_Seite_211.txt",90.2,99.9,93.2,100,99.9,96.6
"1950_53_Seite_186.txt",100,99.9,83.5,100,100,96.7
"1950_53_Seite_494.txt",100,99.9,83.6,100,100,96.7
"1950_53_Seite_394.txt",92.4,99.3,93.3,100,100,97
"1950_53_Seite_420.txt",100,100,85.4,100,100,97.1
"1950_53_Seite_487.txt",99.7,87.5,99.4,100,100,97.3
"1950_53_Seite_174.txt",99.9,94.9,92.6,100,100,97.5
"1950_53_Seite_146.txt",100,100,88,100,100,97.6
"1950_53_Seite_512.txt",89.6,99.5,98.9,100,100,97.6
"1950_53_Seite_209.txt",99.9,93.3,95.6,100,99.8,97.7
"1950_53_Seite_87.txt",89.1,99.8,99.8,100,100,97.7
"1950_53_Seite_161.txt",99.7,99.5,90.4,100,100,97.9
"1950_53_Seite_83.txt",89.8,99.9,99.6,100,100,97.9
"1950_53_Seite_39.txt",98.1,100,92.5,100,99.9,98.1
"1950_53_Seite_70.txt",99.9,99.6,91,100,100,98.1
"1950_53_Seite_267.txt",100,100,91.1,100,100,98.2
"1950_53_Seite_73.txt",91.2,99.8,99.8,100,100,98.2
"1950_53_Seite_236.txt",98.7,100,93.3,100,100,98.4
